Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2013,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,-59,Elections and Political Processes,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening
2013,Education and Social Services,Basic Education,-322,Basic Education,Multilateral,Multilateral - United Nations,"United Nations Educational, Scientific and Cultural Organisation"
2013,Program Support,Direct Administrative Costs,-396,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-806,OFDA/CRIT NEEDS MET OF TARGETED VULNERABLE GRPS IN EMRGNCIES,NGO,NGO - United States,NGO - United States Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-929,Crisis Assistance and Recovery,NGO,NGO - Non United States,NGO - Non United States Redacted
2013,"Democracy, Human Rights, and Governance",Good Governance,-1826,Local Government and Decentralization,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2013,Health,Maternal and Child Health,-1859,Pakistan Initiative for Mothers and Newborns (PAIMAN) Project,NGO,NGO - United States,John Snow International
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-1957,Crisis Assistance and Recovery,NGO,NGO - International,NGO - International Redacted
2013,Program Support,Direct Administrative Costs,-2290,USAID Advisory and Assistance Services,Enterprises,Enterprises - United States,"QED Group, LLC"
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-4866,Humanitarian Assistance To Pakistan For The Complex Emergency - Concern Worldwide,NGO,NGO - United States,NGO - United States Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-5388,Protection and Solutions,NGO,NGO - International,NGO - International Redacted
2013,Economic Development,Economic Opportunity,-5706,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-5747,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2013,Health,Maternal and Child Health,-9515,Pakistan Initiative for Mothers and Newborns (PAIMAN) Project,NGO,NGO - United States,John Snow International
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-11916,Humanitarian Assistance To Pakistan For The Complex Emergency - Concern Worldwide,NGO,NGO - United States,NGO - United States Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-15677,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-20266,Pakistan,Multilateral,Multilateral - Other,International Organisation for Migration
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-20566,"Revitalizing, Innovating, Strengthening Education",NGO,NGO - United States,American Institutes for Research
2013,Health,Maternal and Child Health,-20736,Maternal and Child Health,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2013,Economic Development,Agriculture,-38000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-68452,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,NGO,NGO - International,NGO - International Redacted
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-75249,Crisis Assistance and Recovery,Church and Faith Based,Church and Faith Based - United States,Church and Faith Based - United States Redacted
2013,Economic Development,Economic Opportunity,-100000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2013,Health,Family Planning and Reproductive Health,-106697,Family Advancement for Life and Health (FALAH),NGO,NGO - United States,Population Council
2013,Economic Development,Agriculture,-116963,Agricultural Sector Productivity,NGO,NGO - Non United States,Rural Support Programmes Network
2013,Health,Maternal and Child Health,-132507,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2013,Economic Development,Infrastructure,-166929,Empower Pakistan: Energy Policy,Enterprises,Enterprises - United States,"Advanced Engineering Associates International, Inc."
2013,Education and Social Services,Basic Education,-256125,Community Rehabilitation Infrastructure Support Program (CRISP) in Pakistan.,NGO,NGO - United States,Winrock International
2013,Program Support,Direct Administrative Costs,-296116,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2013,Education and Social Services,Social Assistance,-377305,Agriculture Recovery Project,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2013,Humanitarian Assistance,"Protection, Assistance and Solutions",-408111,Grant to UNFAO for Agriculture and Food Security in Pakistan,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2013,"Democracy, Human Rights, and Governance",Good Governance,-414191,Legislative Function and Processes,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2013,Health,Water Supply and Sanitation,-600000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2013,Economic Development,Financial Sector,-952470,Pakistan Firms,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2013,Education and Social Services,Higher Education,-960318,Construction and rehabilitation of five educational institutions,Enterprises,Enterprises - United States,CDM Corporation
2013,Economic Development,Private Sector Competitiveness,-1377720,Empower Pakistan (Trade),Enterprises,Enterprises - Non United States,Deloitte
2013,Economic Development,Private Sector Competitiveness,-4600000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2013,Peace and Security,Stabilization Operations and Security Sector Reform,-8177988,Pakistan Counterinsurgency Fund,Government,Government - United States,U.S. Government - Department of Defense
2012,Peace and Security,Stabilization Operations and Security Sector Reform,88914905,Pakistan Counterinsurgency Fund,Government,Government - United States,U.S. Government - Department of Defense
2012,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,50725162,International Narcotics Control and Law Enforcement: Country Program,Government,Government - United States,U.S. Government - Department of State
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",19294600,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Infrastructure,19176052,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",18879601,Afghanistan Emergency Food and Shelter Program (EFSP) - 2011 Award,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",18710967,Crisis Assistance and Recovery,Enterprises,Enterprises - United States,CDM Corporation
2012,Economic Development,Agriculture,18500000,Gomal Zam Dam Project,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",16979821,Pakistn Emergency Food and Shelter Program (EFSP) - Flooding,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Infrastructure,14577871,USAID Power Distribution Project,Enterprises,Enterprises - United States,International Resources Group Ltd.
2012,Program Support,Direct Administrative Costs,13217234,Administrative costs,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2012,Economic Development,Private Sector Competitiveness,12193153,Pakistan Firms,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2012,Economic Development,Infrastructure,10865876,Transport Services,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",10556000,Pakistani Internally Displaced Persons,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2012,Education and Social Services,Higher Education,10294201,Teacher Education Project,NGO,NGO - International,Education Development Center
2012,Economic Development,Infrastructure,10211400,Satpara Dam Project,Government,Government - Non United States,Government of Pakistan
2012,Education and Social Services,Basic Education,9864302,Links to Learning (Ed Links),NGO,NGO - United States,American Institutes for Research
2012,Economic Development,Infrastructure,9068225,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",8694921,Crisis Assistance and Recovery,Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2012,Education and Social Services,Basic Education,8328270,Basic Education,Enterprises,Enterprises - United States,CDM Corporation
2012,Economic Development,Infrastructure,7082938,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",7050000,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Agriculture,6984088,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,"Democracy, Human Rights, and Governance",Good Governance,6513884,PERSI II - IOM (Pakistan Transition Initiative),Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2012,Program Support,Direct Administrative Costs,6348307,Independent Monitoring and Evaluation Contract (IMEC),Enterprises,Enterprises - United States,Management Systems International
2012,Economic Development,Agriculture,6090661,USAID DO3 - OTI Pakistan Transition Initiative Project,Enterprises,Enterprises - United States,Creative Associates International
2012,Economic Development,Private Sector Competitiveness,6064487,Entrepreneur Project,NGO,NGO - United States,Mennonite Economic Development Associates
2012,Health,Family Planning and Reproductive Health,5943337,"USAID | DELIVER PROJECT, Task Order 5",NGO,NGO - United States,John Snow International
2012,Economic Development,Infrastructure,5411000,Gomal Zam Dam Project,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",5308000,Section 202e Cost of USAID Title II Food Aid for Section 202e: Section of USAID's P.L. 480 authorizing funds to support Title II activities,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",4988943,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,NGO,NGO - International,NGO - International Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",4976800,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,4958630,International Narcotics Control and Law Enforcement: Unspecified Law Enforcement Activities,Government,Government - United States,U.S. Government - Department of State
2012,"Democracy, Human Rights, and Governance",Good Governance,4907026,PERSI II - IOM (Pakistan Transition Initiative),Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2012,Peace and Security,Stabilization Operations and Security Sector Reform,4868000,DOD - International Military Eduation & Training (IMET) Program/Deliveries,Government,Government - United States,U.S. Government - Department of Defense
2012,Health,Maternal and Child Health,4803145,Community Rehabilitation Infrastructure Support Program (CRISP) in Pakistan.,NGO,NGO - United States,Winrock International
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",4737900,ITSH Freight Cost of USAID Title II Food Aid for Direct Support Cost,Multilateral,Multilateral - United Nations,World Food Program
2012,Health,HIV/AIDS,4630700,Supply Chain Management System (SCMS) - Task Order 3,NGO,NGO - United States,NGO - United States Redacted
2012,"Democracy, Human Rights, and Governance",Good Governance,4542933,USAID DO3 - OTI Pakistan Transition Initiative Project,Enterprises,Enterprises - United States,Creative Associates International
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",4519900,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",4464736,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,Health,Family Planning and Reproductive Health,4338662,Community Rehabilitation Infrastructure Support Program (CRISP) in Pakistan.,NGO,NGO - United States,Winrock International
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",4308914,Crisis Assistance and Recovery,NGO,NGO - International,International Federation of Red Cross and Red Crescent Societies
2012,Education and Social Services,Basic Education,4258016,Basic Education,Government,Government - Non United States,Government of Pakistan
2012,Health,Maternal and Child Health,4257101,"USAID | DELIVER PROJECT, Task Order 5",NGO,NGO - United States,John Snow International
2012,Program Support,Direct Administrative Costs,4243916,Administration and Oversight,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2012,Education and Social Services,Basic Education,4119856,Pakistan Childrens Television,NGO,NGO - Non United States,Rafi Peer Theatre Workshop
2012,Economic Development,Infrastructure,3989622,Tubewell Efficiency Improvement Program (TWEIP) Phase II,Enterprises,Enterprises - Non United States,Khushhali Bank Limited
2012,Economic Development,Infrastructure,3978305,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Health,Tuberculosis,3816719,"USAID | DELIVER PROJECT, Task Order 5",NGO,NGO - United States,John Snow International
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3811387,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,3698629,International Narcotics Control and Law Enforcement: Anti-Crime Programs,Government,Government - United States,U.S. Government - Department of State
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3638600,Commodity Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Infrastructure,3637047,Energy Efficiency and Capacity (EP-EEC) project,Enterprises,Enterprises - United States,International Resources Group Ltd.
2012,"Democracy, Human Rights, and Governance",Civil Society,3624973,National Endowment for Democracy Grant,NGO,NGO - United States,National Endowment for Democracy
2012,Program Support,Direct Administrative Costs,3566785,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3454200,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3441400,ITSH Freight Cost of USAID Title II Food Aid for Other Direct Costs,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Infrastructure,3421351,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3280284,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2012,Economic Development,Infrastructure,3210683,Empower Pakistan: Energy Policy,Enterprises,Enterprises - United States,"Advanced Engineering Associates International, Inc."
2012,"Democracy, Human Rights, and Governance",Good Governance,3201790,Legislative Function and Processes,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2012,Program Support,Direct Administrative Costs,3126301,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3088762,RAPID (Responding to Pakistans Internally Displaced),NGO,NGO - United States,NGO - United States Redacted
2012,Health,HIV/AIDS,3076065,Supply Chain Management System (SCMS) - Task Order 3,NGO,NGO - United States,NGO - United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",3037400,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",2942864,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,Economic Development,Agriculture,2933673,Agribusiness Project,NGO,NGO - Non United States,Agribusiness Support Fund
2012,Economic Development,Agriculture,2900000,Balochistan Agriculture Project,Multilateral,Multilateral - United Nations,Food and Agriculture Organisation
2012,Humanitarian Assistance,Humanitarian Assistance - General,2893000,Disaster Relief,Government,Government - United States,U.S. Government - Department of Defense
2012,"Democracy, Human Rights, and Governance",Political Competition and Consensus-Building,2872535,Political Party Development Program,NGO,NGO - United States,National Democratic Institute
2012,Economic Development,Agriculture,2742523,Pakistan Strategy Support Program (PSSP),Multilateral,Multilateral - Other,International Food Policy Research Institute
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",2721351,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2012,Economic Development,Infrastructure,2711176,Community Rehabilitation Infrastructure Support Program (CRISP) in Pakistan.,NGO,NGO - United States,Winrock International
2012,Health,Tuberculosis,2690048,Tuberculosis Control Assistance Program (TB CAP),NGO,NGO - Non United States,KNCV Tuberculosis Foundation
2012,Peace and Security,Counter-Narcotics,2648817,International Narcotics Control and Law Enforcement: Drug Demand Reduction,Government,Government - United States,U.S. Government - Department of State
2012,"Democracy, Human Rights, and Governance",Good Governance,2636866,FATA Institutional Strengthening Project:,Enterprises,Enterprises - Non United States,AbacusConsulting
2012,Economic Development,Agriculture,2625552,Dairy Project,NGO,NGO - Non United States,Dairy and Rural Development Foundation (Pakistan)
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",2567233,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,United Nations Office for Project Services
2012,"Democracy, Human Rights, and Governance",Civil Society,2548361,Public Communication Project,Enterprises,Enterprises - Non United States,Interflow Communications (Pvt) Ltd
2012,Health,Tuberculosis,2533419,"USAID | DELIVER PROJECT, Task Order 5",NGO,NGO - United States,John Snow International
2012,Education and Social Services,Basic Education,2496856,Teacher Education Project,NGO,NGO - International,Education Development Center
2012,Program Support,Direct Administrative Costs,2485272,Administrative costs,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",2451026,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,Program Support,Direct Administrative Costs,2312826,USAID Sindh Basic Education Project (School construction),NGO,NGO - Non United States,Rural Support Programmes Network
2012,Health,Maternal and Child Health,2193828,Improve Child Health in Federal Administered Tribal Areas (FATA),NGO,NGO - International,"Save the Children Federation, Inc."
2012,Health,Maternal and Child Health,2188140,Improve Child Health in Federal Administered Tribal Areas (FATA),NGO,NGO - International,"Save the Children Federation, Inc."
2012,Education and Social Services,Social Assistance,2140399,PERSI II - IOM (Pakistan Transition Initiative),Multilateral,Multilateral - Other,Multilateral Organizations - Redacted
2012,Education and Social Services,Social Assistance,2099220,USAID DO3 - OTI Pakistan Transition Initiative Project,Enterprises,Enterprises - United States,Creative Associates International
2012,Health,Family Planning and Reproductive Health,2058858,"USAID | DELIVER PROJECT, Task Order 5",NGO,NGO - United States,John Snow International
2012,Health,Family Planning and Reproductive Health,2046141,Family Advancement for Life and Health (FALAH),NGO,NGO - United States,Population Council
2012,Economic Development,Infrastructure,2034431,USAID Energy Policy Project,Enterprises,Enterprises - United States,"Advanced Engineering Associates International, Inc."
2012,Education and Social Services,Social Assistance,2020124,Small Grant and Ambassador's Fund Program (SGAFP),NGO,NGO - Non United States,National Rural Support Programme (Pakistan)
2012,Economic Development,Economic Opportunity,2017524,FATA Livelihood Development Program,NGO,NGO - United States,NGO - United States Redacted
2012,Program Support,Direct Administrative Costs,2017222,Humanitarian information management system at NDMA.,NGO,NGO - United States,Information Management and Mine Action Programs
2012,Economic Development,Financial Sector,2003011,Pakistan Firms,Enterprises,Enterprises - United States,"Chemonics International, Inc."
2012,Education and Social Services,Social Assistance,2000000,UNICEF MCH Umbrella Grant,Multilateral,Multilateral - United Nations,United Nations Children's Fund
2012,Economic Development,Agriculture,1986503,MOA between USAID and FAS USDA to transfer ESF,Government,Government - United States,U.S. Government - Department of Agriculture
2012,Education and Social Services,Social Assistance,1936321,Social Assistance,NGO,NGO - United States,Aga Khan Development Network
2012,Health,Maternal and Child Health,1926540,Construction/rehabilitation of two health facilities in Sindh province,Enterprises,Enterprises - United States,CDM Corporation
2012,Program Support,Direct Administrative Costs,1852816,Administration and Oversight,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2012,Health,Family Planning and Reproductive Health,1849724,DELIVER Project (Deliver II) Task Order 4,NGO,NGO - United States,John Snow International
2012,Program Support,Direct Administrative Costs,1808431,Assessment and Strengthening Program (ASP),Universities and Research Institutes,Universities and Research Institutes - Non United States,Lahore University of Management Sciences
2012,Education and Social Services,Basic Education,1791428,Basic Education,Enterprises,Enterprises - Non United States,AGES Consultants
2012,Humanitarian Assistance,Disaster Readiness,1784901,Child Protection Program for Children and Families Affected by the Conflict in Khyber Pakhtunkhwa and FATA,Multilateral,Multilateral - United Nations,United Nations Children's Fund
2012,Peace and Security,Counter-Terrorism,1768413,Anti-Terrorism Training,Government,Government - United States,U.S. Government - Department of State
2012,Education and Social Services,Social Services,1759462,Local and Regional Food Aid Procurement Pilot Project,Multilateral,Multilateral - United Nations,World Food Program
2012,Program Support,Direct Administrative Costs,1752494,Administrative costs,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2012,Economic Development,Infrastructure,1740000,Repair and Rehabilitation of the Tarbela Hydel Power Station in the Northern Frontier Province,Government,Government - Non United States,Government of Pakistan
2012,Peace and Security,Combating Weapons of Mass Destruction (WMD),1730000,Cooperative Threat Reduction Program: Cooperative Threat Reduction (CTR) Unspecified Activities [non-ODA],Government,Government - United States,U.S. Government - Department of Defense
2012,Program Support,Direct Administrative Costs,1708661,Administrative costs,Government,Government - United States,U.S. Government - Department of State
2012,Education and Social Services,Basic Education,1705004,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Economic Development,Infrastructure,1651558,Cash Transfer,Government,Government - Non United States,Government of Pakistan
2012,Economic Development,Trade and Investment,1649787,Empower Pakistan (Trade),Enterprises,Enterprises - Non United States,Deloitte
2012,"Democracy, Human Rights, and Governance",Good Governance,1636666,Local Government and Decentralization,Government,Government - Non United States,Government of Pakistan
2012,Peace and Security,Counter-Terrorism,1610983,Combating Terrorism Fellowship Program (CTFP),Government,Government - United States,U.S. Government - Department of Defense
2012,Economic Development,Private Sector Competitiveness,1552108,Empower Pakistan (Trade),Enterprises,Enterprises - Non United States,Deloitte
2012,Program Support,Direct Administrative Costs,1513740,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2012,Program Support,Direct Administrative Costs,1428031,Administrative costs,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2012,"Democracy, Human Rights, and Governance",Good Governance,1403659,Local Government and Decentralization,NGO,NGO - United States,InterNews
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",1401309,Crisis Assistance and Recovery,NGO,NGO - Non United States,NGO - Non United States Redacted
2012,Health,Maternal and Child Health,1387172,Maternal and Child Health,NGO,NGO - United States,John Snow International
2012,"Democracy, Human Rights, and Governance",Good Governance,1380000,Local Government and Decentralization,NGO,NGO - United States,InterNews
2012,Education and Social Services,Basic Education,1368891,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2012,Humanitarian Assistance,Disaster Readiness,1357421,Community-based Disaster Risk Management,NGO,NGO - United States,NGO - United States Redacted
2012,Program Support,Direct Administrative Costs,1351250,Administrative costs,Enterprises,Enterprises - United States,Enterprise - United States Other
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",1344100,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Program Support,Direct Administrative Costs,1332120,Administration and Oversight,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2012,Economic Development,Agriculture,1300889,Agricultural Sector Productivity,Government,Government - Non United States,Government of Pakistan
2012,Program Support,Direct Administrative Costs,1255261,Administration and Oversight,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2012,Program Support,Direct Administrative Costs,1232985,Administrative costs,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2012,"Democracy, Human Rights, and Governance",Rule of Law and Human Rights,1177320,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2012,Economic Development,Agriculture,1159337,Agricultural Sector Productivity,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2012,Health,Maternal and Child Health,1070875,Maternal and Child Health,NGO,NGO - International,"Save the Children Federation, Inc."
2012,Health,Maternal and Child Health,1016272,World Health Organization Consolidated Grant,Multilateral,Multilateral - United Nations,World Health Organisation
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",1012500,Commodity Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2012,"Democracy, Human Rights, and Governance",Good Governance,1010681,Local Government and Decentralization,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",1002133,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2012,Health,Maternal and Child Health,1000000,Maternal and Child Health Integrated Program (MCHIP),NGO,NGO - United States,NGO - United States Redacted
2012,Health,Maternal and Child Health,1000000,"Health and Immunization Response Support (UNICEF Polio, EPI Grant)",Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,Health,Maternal and Child Health,1000000,WHO: Polio & Immunizations (Health and Emergency Response Support),Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2012,"Democracy, Human Rights, and Governance",Civil Society,1000000,Gender Equity Project,NGO,NGO - Non United States,Aurat Publication and Information Service Foundation
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",996685,Crisis Assistance and Recovery,NGO,NGO - Non United States,NGO - Non United States Redacted
2012,Health,Maternal and Child Health,987000,Pakistan Participant Training Services,NGO,NGO - United States,Institute for International Education
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",976692,Integrated Afghan Refugee Assistance Program,NGO,NGO - United States,NGO - United States Redacted
2012,Economic Development,Infrastructure,965686,Transport Services,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2012,Education and Social Services,Higher Education,960319,Construction and rehabilitation of five educational institutions,Enterprises,Enterprises - United States,CDM Corporation
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",959000,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Private Sector Competitiveness,926364,Workforce Development,Enterprises,Enterprises - United States,"Development Alternatives, Inc."
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",923588,Transition Support Programming For Afghan Refugees In Pakistan,NGO,NGO - International,NGO - International Other
2012,Economic Development,Infrastructure,917230,USAID DO3 - OTI Pakistan Transition Initiative Project,Enterprises,Enterprises - United States,Creative Associates International
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",909900,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Economic Development,Agriculture,905224,Pakistan Grain Storage Program,Multilateral,Multilateral - World Bank Group,International Finance Corporation
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",901464,Protection and Solutions,Multilateral,Multilateral - United Nations,World Health Organisation
2012,Health,Nutrition,900370,Commodity Cost of Food Aid under Food For Education Program,NGO,NGO - United States,Land O'Lakes Venture37
2012,Economic Development,Agriculture,882488,Pakistan Participant Training Services,NGO,NGO - United States,Institute for International Education
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",878325,"Primary Healthcare, Repatriation, Gender Based Violence, Literary Skills Development Support For Afghan Refugees In Kpk, Pakistan",NGO,NGO - United States,NGO - United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",859600,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",813218,Grant for Nutrition activities in Pakistan.,NGO,NGO - United States,NGO - United States Redacted
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",809099,Crisis Assistance and Recovery,NGO,NGO - Non United States,NGO - Non United States Redacted
2012,Peace and Security,Peace and Security - General,809010,"Export Control and Related Border Security Assistance, Equipment Procurement",Enterprises,Enterprises - United States,"Culmen International, LLC"
2012,Health,Other Public Health Threats,800179,Construction/rehabilitation of two health facilities in Sindh province,Enterprises,Enterprises - United States,CDM Corporation
2012,Education and Social Services,Social Assistance,770000,Conflict Victim's Support Program,NGO,NGO - International,International Relief and Development
2012,Program Support,Direct Administrative Costs,769976,Administration and Oversight,Enterprises,Enterprises - United States,Enterprise - United States Other
2012,Economic Development,Economic Opportunity,761913,Strengthen Microenterprise Productivity,Government,Government - Non United States,Government of Pakistan
2012,Humanitarian Assistance,"Protection, Assistance and Solutions",738400,Commodity Cost of USAID Title II Food Aid for Sri Lank Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
